query term,logFC_g1_g2,Bet537_g1_g2,Br100_g1_g2,Cen-140_g1_g2
gene1,2.28849986881486,2306.55229638987,1905.62797019335,-44
gene2,1.62145812122502,0,0,-174
gene3,1.72467152945188,1837.38272259729,23.4381395137695,-102
gene4,1.54366581676476,638.052695065477,333.587716092324,-89
gene5,-2.72475240797521,640.466933066933,91.495276152419,-158
gene6,3.64764678080132,49.9995962511798,43.6504411716649,-137
gene7,2.1336426593874,22.8509638329347,97.9327021411485,-131
gene8,3.19300243024633,22.8509638329347,97.9327021411485,-131
gene9,1.79533860495874,0,0,-174
gene10,2.00047537108737,17.719134646378,54.5749347108442,-146
gene11,4.10104912873183,0,0,-174
gene12,4.10104912873183,0,0,-174
gene13,1.86988990139749,330.289629290743,121.68565289659,-168
